===== METRIC RESULTS =====

--- Partition 1 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_1.tsv | type=1 | weighted=0 | Metric=-270.50000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_1.tsv | type=1 | weighted=0 | Metric=-19.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_1.tsv | type=1 | weighted=1 | Metric=-259.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_1.tsv | type=1 | weighted=2 | Metric=-1.39560
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_1.tsv | type=2 | weighted=0 | Metric=-31.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_1.tsv | type=2 | weighted=1 | Metric=-427.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_1.tsv | type=2 | weighted=2 | Metric=-2.25275
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_1.tsv | type=1 | weighted=0 | Metric=-47.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_1.tsv | type=1 | weighted=1 | Metric=-728.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_1.tsv | type=1 | weighted=2 | Metric=-3.10208
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_1.tsv | type=2 | weighted=0 | Metric=-63.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_1.tsv | type=2 | weighted=1 | Metric=-976.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_1.tsv | type=2 | weighted=2 | Metric=-4.07083

--- Partition 2 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_2.tsv | type=1 | weighted=0 | Metric=-4.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_2.tsv | type=1 | weighted=1 | Metric=-63.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_2.tsv | type=1 | weighted=2 | Metric=-0.25417
File=./adjClust_results/results/adjclust_clustering_upper_merge_2.tsv | type=2 | weighted=0 | Metric=-7.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_2.tsv | type=2 | weighted=1 | Metric=-111.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_2.tsv | type=2 | weighted=2 | Metric=-0.44167
File=./adjClust_results/results/classic_clustering_upper_merge_2.tsv | type=1 | weighted=0 | Metric=1975.96957
File=./adjClust_results/results/classic_clustering_upper_merge_2.tsv | type=1 | weighted=1 | Metric=88632.35827
File=./adjClust_results/results/classic_clustering_upper_merge_2.tsv | type=1 | weighted=2 | Metric=44.57870
File=./adjClust_results/results/classic_clustering_upper_merge_2.tsv | type=2 | weighted=0 | Metric=189584.00000
File=./adjClust_results/results/classic_clustering_upper_merge_2.tsv | type=2 | weighted=1 | Metric=9519149.00000
File=./adjClust_results/results/classic_clustering_upper_merge_2.tsv | type=2 | weighted=2 | Metric=3785.19166
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_2.tsv | type=1 | weighted=0 | Metric=-375.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_2.tsv | type=1 | weighted=1 | Metric=-2621.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_2.tsv | type=1 | weighted=2 | Metric=-53.80952
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_2.tsv | type=2 | weighted=0 | Metric=-744.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_2.tsv | type=2 | weighted=1 | Metric=-5201.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_2.tsv | type=2 | weighted=2 | Metric=-106.45238
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_2.tsv | type=1 | weighted=0 | Metric=-387.50000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_2.tsv | type=1 | weighted=1 | Metric=-3860.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_2.tsv | type=1 | weighted=2 | Metric=-38.91667
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_2.tsv | type=2 | weighted=0 | Metric=-760.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_2.tsv | type=2 | weighted=1 | Metric=-7585.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_2.tsv | type=2 | weighted=2 | Metric=-76.16667
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_2.tsv | type=1 | weighted=0 | Metric=-877.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_2.tsv | type=1 | weighted=1 | Metric=-9146.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_2.tsv | type=1 | weighted=2 | Metric=-84.28182
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_2.tsv | type=2 | weighted=0 | Metric=-1253.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_2.tsv | type=2 | weighted=1 | Metric=-13282.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_2.tsv | type=2 | weighted=2 | Metric=-118.46364

--- Partition 3 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_3.tsv | type=1 | weighted=0 | Metric=-6.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_3.tsv | type=1 | weighted=1 | Metric=-89.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_3.tsv | type=1 | weighted=2 | Metric=-0.40476
File=./adjClust_results/results/adjclust_clustering_upper_merge_3.tsv | type=2 | weighted=0 | Metric=-11.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_3.tsv | type=2 | weighted=1 | Metric=-164.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_3.tsv | type=2 | weighted=2 | Metric=-0.73810
File=./adjClust_results/results/classic_clustering_upper_merge_3.tsv | type=1 | weighted=0 | Metric=213.57098
File=./adjClust_results/results/classic_clustering_upper_merge_3.tsv | type=1 | weighted=1 | Metric=35669.19704
File=./adjClust_results/results/classic_clustering_upper_merge_3.tsv | type=1 | weighted=2 | Metric=-0.56564
File=./adjClust_results/results/classic_clustering_upper_merge_3.tsv | type=2 | weighted=0 | Metric=170934.00000
File=./adjClust_results/results/classic_clustering_upper_merge_3.tsv | type=2 | weighted=1 | Metric=14528957.00000
File=./adjClust_results/results/classic_clustering_upper_merge_3.tsv | type=2 | weighted=2 | Metric=2015.77663
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_3.tsv | type=1 | weighted=0 | Metric=-23.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_3.tsv | type=1 | weighted=1 | Metric=-125.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_3.tsv | type=1 | weighted=2 | Metric=-4.45000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_3.tsv | type=2 | weighted=0 | Metric=-31.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_3.tsv | type=2 | weighted=1 | Metric=-170.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_3.tsv | type=2 | weighted=2 | Metric=-5.70000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_3.tsv | type=1 | weighted=0 | Metric=-891.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_3.tsv | type=1 | weighted=1 | Metric=-11965.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_3.tsv | type=1 | weighted=2 | Metric=-66.43956
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_3.tsv | type=2 | weighted=0 | Metric=-1273.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_3.tsv | type=2 | weighted=1 | Metric=-17313.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_3.tsv | type=2 | weighted=2 | Metric=-93.72527
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_3.tsv | type=1 | weighted=0 | Metric=-256.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_3.tsv | type=1 | weighted=1 | Metric=-4359.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_3.tsv | type=1 | weighted=2 | Metric=-15.09191
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_3.tsv | type=2 | weighted=0 | Metric=-512.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_3.tsv | type=2 | weighted=1 | Metric=-8703.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_3.tsv | type=2 | weighted=2 | Metric=-30.12132

--- Partition 4 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_4.tsv | type=1 | weighted=0 | Metric=-275.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_4.tsv | type=1 | weighted=1 | Metric=-5485.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_4.tsv | type=1 | weighted=2 | Metric=-13.78947
File=./adjClust_results/results/adjclust_clustering_upper_merge_4.tsv | type=2 | weighted=0 | Metric=-535.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_4.tsv | type=2 | weighted=1 | Metric=-10685.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_4.tsv | type=2 | weighted=2 | Metric=-26.78947
File=./adjClust_results/results/classic_clustering_upper_merge_4.tsv | type=1 | weighted=0 | Metric=-282.92161
File=./adjClust_results/results/classic_clustering_upper_merge_4.tsv | type=1 | weighted=1 | Metric=17874.74901
File=./adjClust_results/results/classic_clustering_upper_merge_4.tsv | type=1 | weighted=2 | Metric=-26.69884
File=./adjClust_results/results/classic_clustering_upper_merge_4.tsv | type=2 | weighted=0 | Metric=98298.00000
File=./adjClust_results/results/classic_clustering_upper_merge_4.tsv | type=2 | weighted=1 | Metric=4900123.00000
File=./adjClust_results/results/classic_clustering_upper_merge_4.tsv | type=2 | weighted=2 | Metric=1975.64156
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_4.tsv | type=1 | weighted=0 | Metric=-47.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_4.tsv | type=1 | weighted=1 | Metric=-348.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_4.tsv | type=1 | weighted=2 | Metric=-6.50893
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_4.tsv | type=2 | weighted=0 | Metric=-63.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_4.tsv | type=2 | weighted=1 | Metric=-472.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_4.tsv | type=2 | weighted=2 | Metric=-8.44643
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_4.tsv | type=1 | weighted=0 | Metric=-10.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_4.tsv | type=1 | weighted=1 | Metric=-119.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_4.tsv | type=1 | weighted=2 | Metric=-0.84091
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_4.tsv | type=2 | weighted=0 | Metric=-19.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_4.tsv | type=2 | weighted=1 | Metric=-227.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_4.tsv | type=2 | weighted=2 | Metric=-1.59091
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_4.tsv | type=1 | weighted=0 | Metric=-275.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_4.tsv | type=1 | weighted=1 | Metric=-4668.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_4.tsv | type=1 | weighted=2 | Metric=-16.26103
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_4.tsv | type=2 | weighted=0 | Metric=-536.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_4.tsv | type=2 | weighted=1 | Metric=-9097.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_4.tsv | type=2 | weighted=2 | Metric=-31.58456

--- Partition 5 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_5.tsv | type=1 | weighted=0 | Metric=-631.50000
File=./adjClust_results/results/adjclust_clustering_upper_merge_5.tsv | type=1 | weighted=1 | Metric=-4168.50000
File=./adjClust_results/results/adjclust_clustering_upper_merge_5.tsv | type=1 | weighted=2 | Metric=-96.21429
File=./adjClust_results/results/adjclust_clustering_upper_merge_5.tsv | type=2 | weighted=0 | Metric=-1011.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_5.tsv | type=2 | weighted=1 | Metric=-6825.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_5.tsv | type=2 | weighted=2 | Metric=-150.42857
File=./adjClust_results/results/classic_clustering_upper_merge_5.tsv | type=1 | weighted=0 | Metric=-13378.77035
File=./adjClust_results/results/classic_clustering_upper_merge_5.tsv | type=1 | weighted=1 | Metric=-486273.39443
File=./adjClust_results/results/classic_clustering_upper_merge_5.tsv | type=1 | weighted=2 | Metric=-465.25939
File=./adjClust_results/results/classic_clustering_upper_merge_5.tsv | type=2 | weighted=0 | Metric=-2912.00000
File=./adjClust_results/results/classic_clustering_upper_merge_5.tsv | type=2 | weighted=1 | Metric=683971.00000
File=./adjClust_results/results/classic_clustering_upper_merge_5.tsv | type=2 | weighted=2 | Metric=-394.34945
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_5.tsv | type=1 | weighted=0 | Metric=-730.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_5.tsv | type=1 | weighted=1 | Metric=-6582.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_5.tsv | type=1 | weighted=2 | Metric=-81.08333
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_5.tsv | type=2 | weighted=0 | Metric=-738.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_5.tsv | type=2 | weighted=1 | Metric=-6657.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_5.tsv | type=2 | weighted=2 | Metric=-81.83333
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_5.tsv | type=1 | weighted=0 | Metric=-319.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_5.tsv | type=1 | weighted=1 | Metric=-3382.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_5.tsv | type=1 | weighted=2 | Metric=-30.15455
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_5.tsv | type=2 | weighted=0 | Metric=-511.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_5.tsv | type=2 | weighted=1 | Metric=-5494.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_5.tsv | type=2 | weighted=2 | Metric=-47.60909
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_5.tsv | type=1 | weighted=0 | Metric=-1008.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_5.tsv | type=1 | weighted=1 | Metric=-15634.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_5.tsv | type=1 | weighted=2 | Metric=-65.12292
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_5.tsv | type=2 | weighted=0 | Metric=-1515.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_5.tsv | type=2 | weighted=1 | Metric=-23738.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_5.tsv | type=2 | weighted=2 | Metric=-96.77917

--- Partition 6 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_6.tsv | type=1 | weighted=0 | Metric=-11.50000
File=./adjClust_results/results/adjclust_clustering_upper_merge_6.tsv | type=1 | weighted=1 | Metric=-153.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_6.tsv | type=1 | weighted=2 | Metric=-0.86538
File=./adjClust_results/results/adjclust_clustering_upper_merge_6.tsv | type=2 | weighted=0 | Metric=-15.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_6.tsv | type=2 | weighted=1 | Metric=-202.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_6.tsv | type=2 | weighted=2 | Metric=-1.11538
File=./adjClust_results/results/classic_clustering_upper_merge_6.tsv | type=1 | weighted=0 | Metric=5198.99368
File=./adjClust_results/results/classic_clustering_upper_merge_6.tsv | type=1 | weighted=1 | Metric=151147.38394
File=./adjClust_results/results/classic_clustering_upper_merge_6.tsv | type=1 | weighted=2 | Metric=186.33083
File=./adjClust_results/results/classic_clustering_upper_merge_6.tsv | type=2 | weighted=0 | Metric=211451.00000
File=./adjClust_results/results/classic_clustering_upper_merge_6.tsv | type=2 | weighted=1 | Metric=7603208.00000
File=./adjClust_results/results/classic_clustering_upper_merge_6.tsv | type=2 | weighted=2 | Metric=6017.49921
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_6.tsv | type=1 | weighted=0 | Metric=-23.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_6.tsv | type=1 | weighted=1 | Metric=-172.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_6.tsv | type=1 | weighted=2 | Metric=-3.22321
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_6.tsv | type=2 | weighted=0 | Metric=-31.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_6.tsv | type=2 | weighted=1 | Metric=-232.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_6.tsv | type=2 | weighted=2 | Metric=-4.16071
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_6.tsv | type=1 | weighted=0 | Metric=-319.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_6.tsv | type=1 | weighted=1 | Metric=-5615.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_6.tsv | type=1 | weighted=2 | Metric=-18.13725
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_6.tsv | type=2 | weighted=0 | Metric=-511.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_6.tsv | type=2 | weighted=1 | Metric=-9071.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_6.tsv | type=2 | weighted=2 | Metric=-28.80392
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_6.tsv | type=1 | weighted=0 | Metric=-762.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_6.tsv | type=1 | weighted=1 | Metric=-11185.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_6.tsv | type=1 | weighted=2 | Metric=-52.03333
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_6.tsv | type=2 | weighted=0 | Metric=-1273.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_6.tsv | type=2 | weighted=1 | Metric=-18843.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_6.tsv | type=2 | weighted=2 | Metric=-86.06667

--- Partition 7 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_7.tsv | type=1 | weighted=0 | Metric=-9.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_7.tsv | type=1 | weighted=1 | Metric=-105.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_7.tsv | type=1 | weighted=2 | Metric=-0.77273
File=./adjClust_results/results/adjclust_clustering_upper_merge_7.tsv | type=2 | weighted=0 | Metric=-15.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_7.tsv | type=2 | weighted=1 | Metric=-177.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_7.tsv | type=2 | weighted=2 | Metric=-1.27273
File=./adjClust_results/results/classic_clustering_upper_merge_7.tsv | type=1 | weighted=0 | Metric=1726.21760
File=./adjClust_results/results/classic_clustering_upper_merge_7.tsv | type=1 | weighted=1 | Metric=78256.92535
File=./adjClust_results/results/classic_clustering_upper_merge_7.tsv | type=1 | weighted=2 | Metric=38.50038
File=./adjClust_results/results/classic_clustering_upper_merge_7.tsv | type=2 | weighted=0 | Metric=128760.00000
File=./adjClust_results/results/classic_clustering_upper_merge_7.tsv | type=2 | weighted=1 | Metric=6207660.00000
File=./adjClust_results/results/classic_clustering_upper_merge_7.tsv | type=2 | weighted=2 | Metric=2674.34403
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_7.tsv | type=1 | weighted=0 | Metric=-9.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_7.tsv | type=1 | weighted=1 | Metric=-78.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_7.tsv | type=1 | weighted=2 | Metric=-1.04167
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_7.tsv | type=2 | weighted=0 | Metric=-15.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_7.tsv | type=2 | weighted=1 | Metric=-132.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_7.tsv | type=2 | weighted=2 | Metric=-1.70833
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_7.tsv | type=1 | weighted=0 | Metric=-13.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_7.tsv | type=1 | weighted=1 | Metric=-179.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_7.tsv | type=1 | weighted=2 | Metric=-0.94505
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_7.tsv | type=2 | weighted=0 | Metric=-23.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_7.tsv | type=2 | weighted=1 | Metric=-319.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_7.tsv | type=2 | weighted=2 | Metric=-1.65934
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_7.tsv | type=1 | weighted=0 | Metric=-190.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_7.tsv | type=1 | weighted=1 | Metric=-3111.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_7.tsv | type=1 | weighted=2 | Metric=-11.67279
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_7.tsv | type=2 | weighted=0 | Metric=-254.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_7.tsv | type=2 | weighted=1 | Metric=-4191.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_7.tsv | type=2 | weighted=2 | Metric=-15.40809

--- Partition 8 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_8.tsv | type=1 | weighted=0 | Metric=-259.50000
File=./adjClust_results/results/adjclust_clustering_upper_merge_8.tsv | type=1 | weighted=1 | Metric=-4927.50000
File=./adjClust_results/results/adjclust_clustering_upper_merge_8.tsv | type=1 | weighted=2 | Metric=-13.66667
File=./adjClust_results/results/adjclust_clustering_upper_merge_8.tsv | type=2 | weighted=0 | Metric=-516.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_8.tsv | type=2 | weighted=1 | Metric=-9801.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_8.tsv | type=2 | weighted=2 | Metric=-27.16667
File=./adjClust_results/results/classic_clustering_upper_merge_8.tsv | type=1 | weighted=0 | Metric=4914.88373
File=./adjClust_results/results/classic_clustering_upper_merge_8.tsv | type=1 | weighted=1 | Metric=296195.55310
File=./adjClust_results/results/classic_clustering_upper_merge_8.tsv | type=1 | weighted=2 | Metric=82.09723
File=./adjClust_results/results/classic_clustering_upper_merge_8.tsv | type=2 | weighted=0 | Metric=123322.00000
File=./adjClust_results/results/classic_clustering_upper_merge_8.tsv | type=2 | weighted=1 | Metric=7904964.00000
File=./adjClust_results/results/classic_clustering_upper_merge_8.tsv | type=2 | weighted=2 | Metric=1928.59056
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_8.tsv | type=1 | weighted=0 | Metric=-23.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_8.tsv | type=1 | weighted=1 | Metric=-78.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_8.tsv | type=1 | weighted=2 | Metric=-7.20833
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_8.tsv | type=2 | weighted=0 | Metric=-31.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_8.tsv | type=2 | weighted=1 | Metric=-108.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_8.tsv | type=2 | weighted=2 | Metric=-9.08333
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_8.tsv | type=1 | weighted=0 | Metric=-273.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_8.tsv | type=1 | weighted=1 | Metric=-4080.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_8.tsv | type=1 | weighted=2 | Metric=-18.27143
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_8.tsv | type=2 | weighted=0 | Metric=-531.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_8.tsv | type=2 | weighted=1 | Metric=-7950.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_8.tsv | type=2 | weighted=2 | Metric=-35.47143
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_8.tsv | type=1 | weighted=0 | Metric=-128.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_8.tsv | type=1 | weighted=1 | Metric=-2559.00000
